LapNumber,LapDistance,Speed,LateralAcceleration,LongitudinalAcceleration,FRH,RRH,Yaw,Steer,Roll,FlapAngle,BrakeForce,ThrottlePedal,CzF,CzR,Cx,CornerPhase,GPSLatCoord,GPSLongCoord
1,0.030277845,0.937255097,-0.015341702,0.032605446,0.314098598,0.107586682,-0.05825881,0.000444307,-0.013047641,20,7.61E-05,1,1.425372611,1.415465815,0.874794224,Straight-line,26.03161667,50.51041667
1,0.031008792,0.940909566,-0.008926081,-0.09961114,0.308650555,0.154952347,-0.057105642,0.001395148,-0.013504477,20,-0.000292342,1,1.444928195,1.421537096,0.876432353,Straight-line,26.03166667,50.51041667
1,0.031746697,0.937446621,-0.00027894,0.05324559,0.299290362,0.149597516,-0.052642158,0.002238842,-0.006540047,20,-4.69E-05,1,1.445949069,1.420429908,0.876369159,Straight-line,26.0317,50.51041667
1,0.032470499,0.939177188,0.001394701,0.032605442,0.287397945,0.094103661,-0.046587883,0.002579702,0.002512893,20,4.55E-05,1,1.429061592,1.412282442,0.874584405,Straight-line,26.03173333,50.51041667
1,0.033208404,0.938446657,0.013947002,-0.01764882,0.277049429,0.116907332,-0.039927783,0.002423223,0.007370566,20,-3.01E-05,1,1.440886416,1.41492334,0.87542457,Straight-line,26.03176667,50.51043333
1,0.033941487,0.939305992,0.010320782,0.040382888,0.269448524,0.114417892,-0.033093925,0.002145542,0.006550094,20,-4.06E-06,1,1.44243881,1.414128675,0.875351944,Straight-line,26.0318,50.51043333
1,0.034679393,0.940309519,0.013668063,0.029614122,0.265731139,0.110676503,-0.027309615,0.002129046,0.003554992,20,-4.33E-05,1,1.442318729,1.413423019,0.875218215,Straight-line,26.03183333,50.51043333
1,0.035412472,0.939931515,0.022036262,-0.008973975,0.266092581,0.113549227,-0.024994482,0.002389939,0.002484421,20,-3.23E-05,1,1.443340265,1.413897738,0.875318232,Straight-line,26.03186667,50.51043333
1,0.036147874,0.941294166,0.016736403,0.042775953,0.268425706,0.112840903,-0.027779349,0.00261309,0.004446636,20,1.94E-05,1,1.442325843,1.413958821,0.875296983,Straight-line,26.0319,50.51043333
1,0.036878821,0.941482456,0.011436542,0.011965301,0.270815274,0.114366497,-0.034444423,0.002537442,0.006455899,20,4.01E-06,1,1.441974103,1.414199787,0.875345413,Straight-line,26.03193333,50.51043333
1,0.037616727,0.941714587,-0.00362622,0.013161831,0.27115028,0.117226458,-0.041603292,0.002189305,0.004002187,20,-0.000161169,1,1.442642891,1.414319994,0.875400503,Straight-line,26.03198333,50.51043333
1,0.038349809,0.943018138,-0.00055788,0.041878553,0.269608266,0.120899712,-0.046198131,0.001791404,-0.004551418,20,-8.12E-05,1,1.444226208,1.414342863,0.875426052,Straight-line,26.03201667,50.51043333
1,0.039087715,0.942777601,0.017294282,0.009273108,0.268298368,0.126355847,-0.0470385,0.001552431,-0.015903133,20,2.65E-06,1,1.44655594,1.414715414,0.875500343,Straight-line,26.03205,50.51043333
1,0.039820798,0.944055547,0.009483962,0.050553396,0.268227813,0.127536271,-0.04465429,0.001536889,-0.024841841,20,-1.32E-05,1,1.447099502,1.414828374,0.875476794,Straight-line,26.03208333,50.51043333
1,0.040556197,0.944665811,0.000836821,0.016452287,0.26944798,0.127198711,-0.040573323,0.001652704,-0.029264108,20,-6.52E-05,1,1.446794329,1.415027662,0.875466015,Straight-line,26.03211667,50.51045
1,0.041287147,0.944904666,0.029846583,0.01076877,0.270560904,0.129996797,-0.036768733,0.001727212,-0.030930853,20,-8.18E-05,1,1.447664606,1.415656564,0.875591797,Straight-line,26.03215,50.51045
1,0.042034331,0.945414965,0.022036262,0.049655997,0.270835641,0.129355432,-0.034917849,0.001593764,-0.031567219,20,2.58E-05,1,1.447418518,1.415674579,0.875583882,Straight-line,26.0322,50.51045
1,0.042767413,0.946294603,0.00613668,0.011666167,0.271936953,0.129417341,-0.035426751,0.001179499,-0.029452964,20,3.24E-05,1,1.44711764,1.415798117,0.875597272,Straight-line,26.03223333,50.51045
1,0.043502813,0.94593535,-0.005299862,0.023930601,0.275485263,0.130556124,-0.036878108,0.000531882,-0.022191302,20,-3.89E-05,1,1.44649639,1.416329488,0.87568113,Straight-line,26.03226667,50.51045
1,0.044243041,0.946877709,0.011157601,0.046365546,0.281803064,0.125572471,-0.036681346,-0.000196174,-0.012781637,20,-6.59E-05,1,1.442857232,1.416398243,0.875581125,Straight-line,26.0323,50.51045
1,0.044980946,0.948194839,-0.006973501,-0.023631468,0.289455703,0.123852295,-0.032966715,-0.000788944,-0.00720008,20,4.99E-05,1,1.440141554,1.417076598,0.875586714,Straight-line,26.03233333,50.51045
